category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,module_id,bg_ratio_numeric,enrichment_ratio
Metabolism,Global and overview maps,ko01240,Biosynthesis of cofactors,6/37,94/3177,0.06382978723404255,5.480736055204139,4.786331904949815,6.33247895855837e-4,0.03805042704467363,0.036890995749683575,K00699/K00966/K13809/K09458/K15734/K11152,6,Module_26,0.029587661315706643,3.379787234042553
Cellular Processes,Cellular community - eukaryotes,ko04530,Tight junction,5/37,64/3177,0.078125,6.7081925675675675,5.006973896802719,7.509952706185586e-4,0.03805042704467363,0.036890995749683575,K09183/K03456/K05763/K16175/K04393,5,Module_26,0.02014479068303431,4.13671875
Cellular Processes,Transport and catabolism,ko04142,Lysosome,7/33,65/3177,0.1076923076923077,10.36783216783217,7.816852798386742,3.03584328151904e-6,2.8536926846278976e-4,2.620412095626961e-4,K01373/K12384/K01365/K12301/K12373/K13443/K12311,7,Module_31,0.02045955303745672,5.702307692307692
Cellular Processes,Cell growth and death,ko04218,Cellular senescence,5/26,65/3177,0.07692307692307693,9.399408284023668,6.214243914436882,1.4484993362052034e-4,0.017526841968082962,0.013570151676027696,K04348/K04432/K03362/K15040/K02183,5,Module_32,0.02045955303745672,4.987441130298273
Organismal Systems,Immune system,ko04624,Toll and Imd signaling pathway,4/21,39/3177,0.10256410256410256,15.516483516483515,7.43958407575647,9.995122132801327e-5,0.007896146484913049,0.007680462270468389,K18809/K20697/K01446/K20668,4,Module_37,0.012275731822474031,8.806652806652808
Cellular Processes,Transport and catabolism,ko04145,Phagosome,3/14,44/3177,0.06818181818181818,15.472402597402596,6.430451172505484,8.113673819231482e-4,0.0454365733876963,0.045265759202028265,K00921/K13885/K01365,3,Module_47,0.013849543594586088,6.370989304812834
Organismal Systems,Digestive system,ko04979,Cholesterol metabolism,2/14,16/3177,0.125,28.366071428571427,7.299865668616252,0.0020894102462003013,0.047284907410841105,0.047107144601025906,K13885/K12385,2,Module_47,0.005036197670758577,11.680147058823529
Cellular Processes,Transport and catabolism,ko04142,Lysosome,3/14,65/3177,0.046153846153846156,10.473626373626374,5.133431907547132,0.0025331200398664875,0.047284907410841105,0.047107144601025906,K12389/K01365/K12385,3,Module_47,0.02045955303745672,4.312669683257919
Organismal Systems,Circulatory system,ko04270,Vascular smooth muscle contraction,3/12,40/3177,0.075,19.85625,7.388768786059637,3.7619513820061394e-4,0.03686712354366017,0.03365956499689704,K12319/K04936/K01047,3,Module_84,0.012590494176896443,13.2375
Organismal Systems,Digestive system,ko04975,Fat digestion and absorption,2/12,13/3177,0.15384615384615385,40.73076923076923,8.837398218664129,9.97081665012336e-4,0.04885700158560446,0.044606285013709765,K01047/K14457,2,Module_84,0.004091910607491344,27.15384615384615
Organismal Systems,Environmental adaptation,ko04711,Circadian rhythm - fly,1/5,10/3177,0.1,63.540000000000006,7.86307657239939,0.015649146337622044,0.04927548261911385,0.02074757162910057,K02633,1,Module_85,0.0031476235442241107,21.18
Organismal Systems,Environmental adaptation,ko04710,Circadian rhythm,1/5,12/3177,0.08333333333333333,52.95,7.157279503604876,0.018755332089044674,0.04927548261911385,0.02074757162910057,K02633,1,Module_85,0.003777148253068933,17.65
Metabolism,Lipid metabolism,ko00590,Arachidonic acid metabolism,1/5,14/3177,0.07142857142857142,45.385714285714286,6.607182378669444,0.021853671463818336,0.04927548261911385,0.02074757162910057,K00069,1,Module_85,0.004406672961913755,15.12857142857143
Organismal Systems,Sensory system,ko04745,Phototransduction - fly,1/5,17/3177,0.058823529411764705,37.37647058823529,5.969804907010434,0.026486501102899296,0.04927548261911385,0.02074757162910057,K08834,1,Module_85,0.0053509600251809885,12.458823529411765
