category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,module_id,bg_ratio_numeric,enrichment_ratio
Cellular Processes,Cell growth and death,ko04218,Cellular senescence,40/1040,65/3177,0.6153846153846154,1.8798816568047338,4.999376028933536,1.406634895869704e-6,4.501231666783053e-4,3.435150482544962e-4,K09183/K04728/K02087/K07203/K20858/K04674/K07827/K10867/K04348/K02649/K10994/K02206/K04958/K04368/K06269/K06627/K11411/K21776/K07208/K04443/K21774/K07207/K02183/K04682/K02216/K02678/K07206/K06626/K06641/K10752/K01110/K09389/K21775/K00922/K08826/K06625/K10866/K02089/K23605/K04377,40,Module_01,0.02045955303745672,0.845987418034151
Cellular Processes,Cell growth and death,ko04110,Cell cycle,51/1040,91/3177,0.5604395604395604,1.712035080304311,4.807051573537161,2.885960179138636e-6,4.6175362866218174e-4,3.523909271369282e-4,K03363/K04683/K03348/K02202/K04728/K02087/K06628/K04501/K02213/K06670/K05866/K02541/K02212/K11584/K03355/K02180/K06671/K02603/K02206/K03875/K06669/K06632/K06627/K08866/K11267/K02209/K02607/K02540/K04682/K02216/K10779/K11547/K06626/K02210/K06641/K03351/K06672/K02605/K04498/K09389/K06631/K25163/K06625/K06619/K02089/K02178/K11273/K11268/K23605/K02604/K04377,51,Module_01,0.02864337425243941,0.7704528271382447
Genetic Information Processing,Translation,ko03013,Nucleocytoplasmic transport,40/1040,81/3177,0.49382716049382713,1.5085470085470085,3.23390898414093,0.0012100769535511717,0.03947619418618014,0.030126569247348002,K09291/K15436/K14284/K14299/K14304/K14301/K18460/K14311/K25202/K14328/K14300/K25203/K07936/K14327/K25204/K13171/K12879/K18423/K20221/K25129/K23583/K15043/K14309/K13176/K12882/K13151/K14310/K14295/K14294/K12876/K14312/K25201/K18752/K12172/K15042/K14324/K14302/K14306/K14317/K14305,40,Module_01,0.025495750708215296,0.6788787922496273
Genetic Information Processing,Translation,ko03010,Ribosome,80/778,146/3177,0.547945205479452,2.2375603056660913,8.716953959311047,8.235023452160019e-16,1.313486240619523e-13,1.3046010837369294e-13,K02966/K02875/K02929/K02987/K02947/K02992/K02891/K17424/K02934/K02978/K02903/K17407/K02993/K02920/K17406/K02980/K02979/K02969/K02975/K02877/K02907/K02896/K17412/K02872/K02932/K02949/K02919/K02991/K02988/K17423/K02996/K02922/K02882/K02870/K02871/K02958/K02865/K02997/K02930/K02976/K02961/K02977/K02995/K02974/K02985/K02936/K02910/K02957/K02864/K02950/K02925/K17433/K02955/K02894/K02935/K02867/K02960/K02898/K02938/K02937/K02883/K02917/K02901/K02967/K14753/K02873/K02908/K02964/K02868/K02893/K02885/K02989/K02912/K17409/K02918/K02880/K02984/K02927/K17429/K02940,80,Module_03,0.04595530374567202,1.0990037359900373
Metabolism,Energy metabolism,ko00190,Oxidative phosphorylation,63/404,90/3177,0.7,5.5047029702970285,16.54531707872934,1.3234979498546447e-37,3.904318952071202e-35,3.7475889316936785e-35,K03962/K02140/K03937/K03957/K02131/K02129/K02272/K02135/K03943/K03941/K02265/K02136/K02260/K03954/K02137/K03938/K11352/K03964/K02134/K08738/K00420/K03945/K03958/K03956/K02267/K03960/K03936/K03952/K00411/K00236/K02146/K02130/K03953/K02132/K11351/K03661/K00412/K02256/K02264/K00415/K02270/K02150/K03949/K03935/K02268/K00235/K03965/K03966/K00234/K02273/K00413/K03939/K03946/K03955/K02145/K02128/K00417/K03959/K02138/K03948/K03950/K02127/K03963,63,Module_04,0.028328611898016998,3.3593655589123865
Organismal Systems,Environmental adaptation,ko04714,Thermogenesis,66/404,138/3177,0.4782608695652174,3.7609771846749895,12.655899156594819,3.0232323696169433e-25,4.4592677451849915e-23,4.2802605654050413e-23,K11650/K03962/K08765/K18163/K02140/K03937/K03957/K02131/K02129/K02272/K02135/K03943/K03941/K02265/K02136/K02260/K03954/K02137/K03938/K11352/K11450/K03964/K02134/K00420/K03945/K03958/K03956/K02267/K03960/K03936/K03952/K18184/K00411/K00236/K02130/K03953/K02132/K11351/K00412/K02256/K02264/K00415/K02270/K03949/K03935/K02268/K00235/K03965/K03966/K00234/K02273/K11647/K00413/K16816/K03939/K03946/K03955/K02128/K00417/K03959/K02138/K03948/K03950/K11648/K02127/K03963,66,Module_04,0.04343720491029273,2.295218704846972
Organismal Systems,Nervous system,ko04723,Retrograde endocannabinoid signaling,28/404,62/3177,0.45161290322580644,3.551421271159374,7.742923809290494,1.944286519118676e-10,4.779704359500078e-9,4.587833979323894e-9,K03962/K03937/K03957/K03943/K03941/K03954/K03938/K11352/K03964/K03945/K03958/K03956/K03960/K03936/K03952/K03953/K11351/K03949/K03935/K03965/K03966/K03939/K03946/K03955/K03959/K03948/K03950/K03963,28,Module_04,0.019515265974189486,2.1673326186531527
Organismal Systems,Circulatory system,ko04260,Cardiac muscle contraction,17/404,30/3177,0.5666666666666667,4.456188118811881,7.258813252572684,1.0702513731384212e-8,2.428647346737187e-7,2.3311548127468445e-7,K02272/K02265/K00420/K02267/K04962/K00411/K10373/K00412/K02256/K02264/K00415/K02270/K04860/K02268/K02273/K00413/K00417,17,Module_04,0.009442870632672332,2.719486404833837
Metabolism,Carbohydrate metabolism,ko00020,Citrate cycle (TCA cycle),11/404,23/3177,0.4782608695652174,3.7609771846749895,5.071680493896066,3.9792269294440975e-5,8.384799601328635e-4,8.048210857296709e-4,K01679/K00026/K00031/K00030/K00627/K00236/K01900/K00382/K00235/K01899/K00234,11,Module_04,0.007239534151715455,2.295218704846972
Metabolism,Global and overview maps,ko01200,Carbon metabolism,21/404,74/3177,0.28378378378378377,2.2316363393096066,4.091320113605673,2.1877465031562966e-4,0.00430256812287405,0.0041298512936775,K01079/K01754/K01834/K19269/K01679/K00616/K00121/K00026/K00031/K00030/K00627/K00236/K01900/K07511/K00382/K05605/K00235/K01899/K00234/K14455/K00927,21,Module_04,0.02329241422725842,1.3619049563158323
Metabolism,Carbohydrate metabolism,ko00640,Propanoate metabolism,9/404,20/3177,0.45,3.5387376237623767,4.346618466707245,3.6732986085964237e-4,0.006772644309599656,0.006500771879687092,K01692/K01908/K01900/K07511/K13524/K00382/K05605/K09699/K01899,9,Module_04,0.006295247088448221,2.1595921450151057
Metabolism,Global and overview maps,ko01110,Biosynthesis of secondary metabolites,52/247,264/3177,0.19696969696969696,2.5334928229665072,7.553850445054549,4.552071261280261e-11,1.238163383068231e-8,1.073330486870293e-8,K12316/K00827/K00033/K01885/K01053/K01785/K05917/K10250/K11262/K00025/K00006/K00819/K09478/K00699/K00049/K10251/K01648/K00826/K01187/K00022/K00228/K01188/K01681/K01703/K23265/K01581/K01652/K13811/K00602/K00764/K01587/K01080/K01965/K00030/K00939/K01195/K11517/K01057/K01904/K13356/K13513/K00232/K03841/K00861/K14157/K01719/K01772/K01007/K17744/K01895/K00106/K12317,52,Module_05,0.08309726156751653,1.6086702500584247
Cellular Processes,Transport and catabolism,ko04142,Lysosome,20/247,65/3177,0.3076923076923077,3.957645593273124,6.994198116968269,3.620539632840801e-8,4.923933900663489e-6,4.268425672401786e-6,K06546/K01206/K12316/K12301/K01052/K12384/K01363/K03662/K14410/K01205/K12382/K02155/K01201/K12386/K01365/K13289/K01195/K13443/K06497/K01379,20,Module_05,0.02045955303745672,2.5129523432865337
Cellular Processes,Transport and catabolism,ko04145,Phagosome,14/247,44/3177,0.3181818181818182,4.092565329407435,5.9968051364172075,2.8337471016433954e-6,1.9269480291175087e-4,1.670419344126633e-4,K05692/K02147/K07342/K03662/K02152/K02155/K01365/K02148/K09481/K04392/K10956/K08057/K13885/K02145,14,Module_05,0.013849543594586088,2.598621173171302
Genetic Information Processing,"Folding, sorting and degradation",ko04141,Protein processing in endoplasmic reticulum,21/247,103/3177,0.20388349514563106,2.6224205023387444,4.859426524789596,2.6892793038684522e-5,0.0014422502277248504,0.001250247875427115,K07342/K03237/K09490/K14008/K12667/K12666/K13719/K13984/K08056/K13251/K09517/K04571/K09481/K09586/K13250/K10956/K13249/K13989/K07151/K08057/K05546,21,Module_05,0.032420522505508344,1.665135897371902
Metabolism,Carbohydrate metabolism,ko00052,Galactose metabolism,7/247,14/3177,0.5,6.431174089068826,5.912389798332116,3.3737950138519903e-5,0.0014422502277248504,0.001250247875427115,K12316/K01785/K00965/K01187/K00849/K00011/K12317,7,Module_05,0.004406672961913755,4.0835475578406175
Metabolism,Metabolism of other amino acids,ko00480,Glutathione metabolism,9/247,24/3177,0.375,4.823380566801619,5.458157673015628,4.159110708991597e-5,0.0014422502277248504,0.001250247875427115,K00033/K00682/K00799/K18592/K01581/K11205/K11204/K04097/K21456,9,Module_05,0.007554296506137866,3.0626606683804627
Metabolism,Global and overview maps,ko01120,Microbial metabolism in diverse environments,22/247,114/3177,0.19298245614035087,2.482207543149371,4.678890265020236,4.241912434484854e-5,0.0014422502277248504,0.001250247875427115,K00033/K01885/K01053/K01785/K11262/K00025/K00049/K01648/K01070/K00022/K01681/K13811/K01965/K00030/K18334/K11517/K01057/K03841/K01719/K01007/K01895/K00106,22,Module_05,0.03588290840415486,1.5761060749560276
Metabolism,Global and overview maps,ko01212,Fatty acid metabolism,10/247,35/3177,0.2857142857142857,3.6749566223250434,4.619581026571717,2.1639858045457663e-4,0.0058860413883644845,0.0051024507391394915,K10224/K10250/K11262/K09478/K10251/K01897/K00022/K12405/K00232/K15013,10,Module_05,0.011016682404784388,2.3334557473374953
Organismal Systems,Immune system,ko04612,Antigen processing and presentation,6/247,14/3177,0.42857142857142855,5.512434933487564,4.912248038612126,3.6652653025818913e-4,0.009063201475475222,0.007856645241898025,K09490/K01363/K08056/K08059/K01365/K08057,6,Module_05,0.004406672961913755,3.500183621006243
Metabolism,Global and overview maps,ko01200,Carbon metabolism,15/247,74/3177,0.20270270270270271,2.6072327388116867,4.061240006379396,4.207083807184415e-4,0.009536056629618008,0.00826655063867815,K00827/K00033/K01053/K00025/K01070/K01681/K05605/K01965/K00030/K11517/K01057/K00232/K03841/K01007/K01895,15,Module_05,0.02329241422725842,1.6554922531786285
Organismal Systems,Excretory system,ko04966,Collecting duct acid secretion,5/247,10/3177,0.5,6.431174089068826,4.9937248037229205,4.969791095677516e-4,0.01039833213864834,0.009014034052079059,K02147/K02152/K02155/K02148/K02145,5,Module_05,0.0031476235442241107,4.0835475578406175
Metabolism,Global and overview maps,ko01240,Biosynthesis of cofactors,17/247,94/3177,0.18085106382978725,2.32616935136532,3.789056355041598,7.179473184300835e-4,0.013948690758070193,0.012091744310401407,K01885/K01053/K00699/K00826/K00228/K11205/K00939/K11204/K01195/K11152/K03637/K00861/K11153/K01719/K01772/K17744/K21456,17,Module_05,0.029587661315706643,1.4770278400700103
Metabolism,Carbohydrate metabolism,ko00630,Glyoxylate and dicarboxylate metabolism,7/247,23/3177,0.30434782608695654,3.9146277063897204,4.072593612956101,0.001309035283306558,0.02331414849933889,0.020210407367847953,K00827/K00025/K00049/K01681/K01965/K11517/K01895,7,Module_05,0.007239534151715455,2.4856376439029844
Metabolism,Lipid metabolism,ko01040,Biosynthesis of unsaturated fatty acids,5/247,12/3177,0.4166666666666667,5.359311740890688,4.3921443638805915,0.001371420499961111,0.02331414849933889,0.020210407367847953,K10224/K10250/K10251/K12405/K00232,5,Module_05,0.003777148253068933,3.402956298200514
Metabolism,Amino acid metabolism,ko00270,Cysteine and methionine metabolism,8/247,31/3177,0.25806451612903225,3.3193156588742325,3.767179041315206,0.0019451339530075415,0.029393135289891736,0.025480117279163116,K00827/K00025/K00826/K11205/K00552/K08967/K11204/K21456,8,Module_05,0.009757632987094743,2.10763744920806
Cellular Processes,Transport and catabolism,ko04146,Peroxisome,10/247,46/3177,0.21739130434782608,2.796162647421229,3.5623612332924752,0.0022371084745551146,0.03202597395152585,0.027762454199465134,K00649/K13348/K01897/K12261/K04565/K11517/K12405/K13356/K00232/K00106,10,Module_05,0.01447906830343091,1.775455459930703
Metabolism,Metabolism of cofactors and vitamins,ko00860,Porphyrin metabolism,6/247,19/3177,0.3157894736842105,4.061794161517153,3.885989667710638,0.0023751267206098955,0.03230172340029458,0.02800149396929561,K01885/K00699/K00228/K01195/K01719/K01772,6,Module_05,0.005980484734025811,2.579082668109863
Cellular Processes,Cell growth and death,ko04216,Ferroptosis,5/247,14/3177,0.35714285714285715,4.593695777906304,3.912106278892136,0.0030453370842793252,0.03944436604399888,0.03419325849015383,K08339/K01897/K11205/K11204/K21456,5,Module_05,0.004406672961913755,2.9168196841718697
Metabolism,Carbohydrate metabolism,ko00010,Glycolysis / Gluconeogenesis,2/5,29/3177,0.06896551724137931,43.820689655172416,9.195893955017018,7.911419713952245e-4,0.015031697456509266,0.006662248180170312,K01803/K00162,2,Module_103,0.00912810827824992,16.854111405835546
Metabolism,Global and overview maps,ko01200,Carbon metabolism,2/5,74/3177,0.02702702702702703,17.172972972972975,5.588219964898476,0.005114969667899297,0.04859221184504332,0.021536714391154933,K01803/K00162,2,Module_103,0.02329241422725842,6.604989604989605
Organismal Systems,Digestive system,ko04974,Protein digestion and absorption,4/35,21/3177,0.19047619047619047,17.289795918367346,7.903654954125345,6.47332677026944e-5,0.009774723423106854,0.009744060296300315,K06823/K01539/K14209/K01312,4,Module_20,0.0066100094428706326,7.858998144712431
Metabolism,Carbohydrate metabolism,ko00520,Amino sugar and nucleotide sugar metabolism,5/37,24/3177,0.20833333333333334,17.888513513513512,9.013871157301448,5.869455038438154e-6,8.921571658425994e-4,8.649723214540438e-4,K00966/K00698/K18674/K12373/K00849,5,Module_26,0.007554296506137866,11.031249999999998
